	rxn10158	rxn05312	rxn05318	rJB00240	rxn05158	rxn00615	rxn05209	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00097	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
62	-390.5803216211986	179.48264324239733	199.16100000000006	390.58032162119866	418.00035675760273	-1000.0	-390.5803216211986	23.873356757602778	23.873356757602778	199.16100000000006	-23.873356757602778	1000.0	175.28764324239728	23.873356757602778	581.9996432423973	402.51699999999994	-199.16100000000006	1000.0	-999.9999999999999	402.5169999999996	-402.51699999999994	402.51699999999994	8.39	199.16099999999994
63	-328.64626144176384	55.6145228835278	199.16100000000017	328.64626144176384	541.8684771164725	-1000.0	-328.64626144176384	147.74147711647288	147.74147711647288	199.16100000000017	-147.74147711647288	1000.0	51.41952288352727	147.74147711647288	458.1315228835275	402.5169999999996	-199.16100000000017	1000.0	-999.9999999999999	402.5169999999998	-402.5169999999996	402.5169999999996	8.39	199.16099999999994
64	-359.57193337913185	117.46586675826313	199.16099999999983	359.5719333791319	480.0171332417365	-1000.0	-359.57193337913185	85.89013324173607	85.89013324173607	199.16099999999983	-85.89013324173607	1000.0	113.27086675826381	85.89013324173607	519.9828667582635	402.5170000000004	-199.16099999999983	1000.0	-999.9999999999999	402.5170000000005	-402.5170000000004	402.5170000000004	8.39	199.16099999999994
65	-308.09076491146664	14.503529822932705	199.16099999999983	308.09076491146664	582.979470177067	-1000.0	-308.09076491146664	188.8524701770666	188.8524701770666	199.16099999999983	-188.8524701770666	1000.0	10.308529822933272	188.8524701770666	417.020529822933	402.5170000000004	-199.16099999999983	1000.0	-999.9999999999999	402.5170000000005	-402.5170000000004	402.5170000000003	8.39	199.16099999999994
66	-338.95479126469695	76.23158252939402	199.16100000000006	338.95479126469695	521.2514174706062	-1000.0	-338.95479126469695	127.1244174706062	127.1244174706062	199.16100000000006	-127.1244174706062	1000.0	72.03658252939381	127.1244174706062	478.74858252939384	402.51699999999994	-199.16100000000006	1000.0	-999.9999999999999	402.5169999999998	-402.51699999999994	402.5169999999998	8.39	199.16099999999994
67	-400.88885144413183	200.0997028882631	199.16099999999983	400.8888514441319	397.3832971117365	-1000.0	-400.88885144413183	3.256297111736103	3.256297111736103	199.16099999999983	-3.256297111736103	1000.0	195.90470288826378	3.256297111736103	602.6167028882635	402.5170000000004	-199.16099999999983	1000.0	-999.9999999999999	402.5170000000005	-402.5170000000004	402.5170000000004	8.39	199.16099999999994
68	-625.6271518533923	872.6864555601773	310.71607592669625	625.6271518533923	59.46177221991138	-1000.0	-625.6271518533923	0.0	0.0	310.71607592669625	0.0	1000.0	310.71607592669625	0.0	940.5382277800886	67.85177221991138	-310.71607592669625	1000.0	-999.9999999999999	67.85177221991125	-67.85177221991138	67.85177221991137	8.39	310.71607592669625
69	-316.0458821568234	623.7017643136467	207.9005881045489	316.0458821568234	0.0	-424.19117620909765	-316.0458821568234	207.90058810454883	207.90058810454883	207.9005881045489	-207.90058810454883	424.19117620909765	0.0	207.90058810454883	424.19117620909765	-199.51058810454884	-207.9005881045489	424.19117620909765	-424.1911762090977	-199.5105881045488	199.51058810454884	-199.51058810454902	8.39	207.9005881045489
70	-368.2219553832342	728.0539107664682	242.68463692215607	368.2219553832342	0.0	-493.7592738443122	-368.2219553832342	242.68463692215607	242.68463692215607	242.68463692215607	-242.68463692215607	493.7592738443122	0.0	242.68463692215607	493.7592738443122	-234.2946369221561	-242.68463692215607	493.7592738443122	-493.7592738443122	-234.29463692215575	234.2946369221561	-234.2946369221561	8.39	242.68463692215607
71	-522.5089321276181	1000.0	345.54262141841195	522.5089321276181	36.627864255236126	-736.1031070920601	-522.5089321276181	345.542621418412	345.542621418412	345.54262141841195	-345.542621418412	736.1031070920601	0.0	345.542621418412	699.475242836824	-300.52475716317593	-345.54262141841195	736.1031070920601	-736.1031070920602	-300.524757163176	300.52475716317593	-300.524757163176	8.39	345.5426214184119
72	-420.2418648414516	832.0937296829032	277.36457656096775	420.2418648414516	0.0	-563.1191531219355	-420.2418648414516	277.36457656096775	277.36457656096775	277.36457656096775	-277.36457656096775	563.1191531219355	0.0	277.36457656096775	563.1191531219355	-268.97457656096776	-277.36457656096775	563.1191531219355	-563.1191531219355	-268.97457656096765	268.97457656096776	-268.97457656096776	8.39	277.36457656096775
