	rxn10158	rxn05312	rxn05318	rJB00240	rxn00615	rxn05209	rxn00148	rxn05229	rxn00250	rxn00134	rxn05581	rxn00097	rxn00251	rxn10165	rxn10053	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	ATPM	DM_cpd00002_c
10	-559.4494956663249	839.1742434994871	279.7247478331624	559.4494956663249	-839.1742434994871	-559.4494956663249	8.389999999999986	-8.389999999999986	8.389999999999986	279.7247478331624	839.1742434994871	271.3347478331624	8.389999999999986	839.1742434994871	8.389999999999986	-279.7247478331624	839.1742434994871	-839.1742434994871	8.39	279.7247478331624
11	-431.19983766700904	646.7997565005135	215.5999188335045	431.19983766700904	-646.7997565005135	-431.19983766700904	8.389999999999986	-8.389999999999986	8.389999999999986	215.5999188335045	646.7997565005135	207.2099188335045	8.389999999999986	646.7997565005135	8.389999999999986	-215.5999188335045	646.7997565005135	-646.7997565005135	8.39	215.5999188335045
12	-388.53550832500883	582.8032624875132	194.2677541625044	388.53550832500883	-582.8032624875132	-388.53550832500883	8.389999999999986	-8.389999999999986	8.389999999999986	194.2677541625044	582.8032624875132	185.8777541625044	8.389999999999986	582.8032624875132	8.389999999999986	-194.2677541625044	582.8032624875132	-582.8032624875132	8.39	194.2677541625044
13	-516.6994956670092	775.0492435005136	258.3497478335046	516.6994956670092	-775.0492435005136	-516.6994956670092	8.389999999999986	-8.389999999999986	8.389999999999986	258.3497478335046	775.0492435005136	249.95974783350457	8.389999999999986	775.0492435005136	8.389999999999986	-258.3497478335046	775.0492435005136	-775.0492435005136	8.39	258.34974783350447
14	-345.95616700832466	518.9342505124871	172.97808350416238	345.95616700832466	-518.9342505124871	-345.95616700832466	8.389999999999986	-8.389999999999986	8.389999999999986	172.97808350416238	518.9342505124871	164.58808350416237	8.389999999999986	518.9342505124871	8.389999999999986	-172.97808350416238	518.9342505124871	-518.9342505124871	8.39	172.97808350416238
15	-655.9149563381802	983.8724345072702	327.95747816909005	655.9149563381802	-983.8724345072702	-655.9149563381802	8.389999999999986	-8.389999999999986	8.389999999999986	327.95747816909005	983.8724345072702	319.56747816909007	8.389999999999986	983.8724345072702	8.389999999999986	-327.95747816909005	983.8724345072702	-983.8724345072702	8.39	327.95747816909005
16	-484.61587733749576	726.9238160062437	242.30793866874788	484.61587733749576	-726.9238160062437	-484.61587733749576	8.389999999999986	-8.389999999999986	8.389999999999986	242.30793866874788	726.9238160062437	233.91793866874787	8.389999999999986	726.9238160062437	8.389999999999986	-242.30793866874788	726.9238160062437	-726.9238160062437	8.39	242.3079386687479
17	-591.5760349951536	887.3640524927304	295.7880174975768	591.5760349951536	-887.3640524927304	-591.5760349951536	8.389999999999986	-8.389999999999986	8.389999999999986	295.7880174975768	887.3640524927304	287.3980174975768	8.389999999999986	887.3640524927304	8.389999999999986	-295.7880174975768	887.3640524927304	-887.3640524927304	8.39	295.7880174975768
18	-634.4113636531534	951.6170454797303	317.2056818265768	634.4113636531534	-951.6170454797303	-634.4113636531534	8.389999999999986	-8.389999999999986	8.389999999999986	317.2056818265768	951.6170454797303	308.8156818265768	8.389999999999986	951.6170454797303	8.389999999999986	-317.2056818265768	951.6170454797303	-951.6170454797303	8.39	317.2056818265768
19	-548.7407063371536	823.1110595057304	274.3703531685768	548.7407063371536	-823.1110595057304	-548.7407063371536	8.389999999999986	-8.389999999999986	8.389999999999986	274.3703531685768	823.1110595057304	265.9803531685768	8.389999999999986	823.1110595057304	8.389999999999986	-274.3703531685768	823.1110595057304	-823.1110595057304	8.39	274.3703531685768
20	-420.5337979958383	630.8006969937576	210.26689899791918	420.5337979958383	-630.8006969937576	-420.5337979958383	8.389999999999986	-8.389999999999986	8.389999999999986	210.26689899791918	630.8006969937576	201.87689899791917	8.389999999999986	630.8006969937576	8.389999999999986	-210.26689899791918	630.8006969937576	-630.8006969937576	8.39	210.26689899791927
21	-377.86946865383817	566.8042029807573	188.93473432691908	377.86946865383817	-566.8042029807573	-377.86946865383817	8.389999999999986	-8.389999999999986	8.389999999999986	188.93473432691908	566.8042029807573	180.54473432691907	8.389999999999986	566.8042029807573	8.389999999999986	-188.93473432691908	566.8042029807573	-566.8042029807573	8.39	188.93473432691917
22	-463.19812733783823	694.7971910067573	231.59906366891914	463.19812733783823	-694.7971910067573	-463.19812733783823	8.389999999999986	-8.389999999999986	8.389999999999986	231.59906366891914	694.7971910067573	223.20906366891913	8.389999999999986	694.7971910067573	8.389999999999986	-231.59906366891914	694.7971910067573	-694.7971910067573	8.39	231.59906366891903
23	-570.158284995496	855.2374274932441	285.079142497748	570.158284995496	-855.2374274932441	-570.158284995496	8.389999999999986	-8.389999999999986	8.389999999999986	285.079142497748	855.2374274932441	276.68914249774804	8.389999999999986	855.2374274932441	8.389999999999986	-285.079142497748	855.2374274932441	-855.2374274932441	8.39	285.07914249774814
