	rxn10158	rxn05312	rxn05318	rJB00240	rxn00615	rxn05209	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
60	-183.04733468177625	357.7046693635525	119.23488978785088	183.04733468177625	-246.85977957570168	-183.04733468177625	119.23488978785083	119.23488978785083	119.23488978785083	-119.23488978785083	246.85977957570168	119.23488978785083	246.85977957570168	-110.84488978785082	-119.23488978785088	246.85977957570168	-246.85977957570168	-110.84488978785078	110.84488978785082	-110.84488978785083	8.39	119.23488978785085
61	-254.17562749084198	499.96125498168385	166.65375166056128	254.17562749084198	-341.6975033211226	-254.17562749084198	166.6537516605613	166.6537516605613	166.6537516605613	-166.6537516605613	341.6975033211226	166.6537516605613	341.6975033211226	-158.26375166056127	-166.65375166056128	341.6975033211226	-341.6975033211226	-158.26375166056118	158.26375166056127	-158.26375166056118	8.39	166.65375166056137
62	-168.8954361556804	329.4008723113607	109.80029077045356	168.8954361556804	-227.9905815409071	-168.8954361556804	109.80029077045354	109.80029077045354	109.80029077045354	-109.80029077045354	227.9905815409071	109.80029077045354	227.9905815409071	-101.41029077045353	-109.80029077045356	227.9905815409071	-227.9905815409071	-101.41029077045334	101.41029077045353	-101.41029077045357	8.39	109.80029077045354
63	-372.11692500844026	735.8438500168804	245.28128333896018	372.11692500844026	-498.95256667792034	-372.11692500844026	245.28128333896015	245.28128333896015	245.28128333896015	-245.28128333896015	498.95256667792034	245.28128333896015	498.95256667792034	-236.8912833389601	-245.28128333896018	498.95256667792034	-498.95256667792034	-236.8912833389603	236.8912833389601	-236.89128333896008	8.39	245.28128333896018
64	-386.4826376898168	764.5752753796335	254.8584251265445	386.4826376898168	-518.106850253089	-386.4826376898168	254.8584251265445	254.8584251265445	254.8584251265445	-254.8584251265445	518.106850253089	254.8584251265445	518.106850253089	-246.4684251265445	-254.8584251265445	518.106850253089	-518.106850253089	-246.4684251265443	246.4684251265445	-246.4684251265445	8.39	254.8584251265445
65	-65.59124074247373	122.79248148494732	40.93082716164906	65.59124074247373	-90.25165432329821	-65.59124074247373	40.930827161649106	40.930827161649106	40.930827161649106	-40.930827161649106	90.25165432329821	40.930827161649106	90.25165432329821	-32.540827161649105	-40.93082716164906	90.25165432329821	-90.25165432329821	-32.540827161648906	32.540827161649105	-32.540827161649105	8.39	40.930827161649106
66	-279.09069884549496	549.7913976909899	183.26379923032994	279.09069884549496	-374.91759846066	-279.09069884549496	183.26379923032997	183.26379923032997	183.26379923032997	-183.26379923032997	374.91759846066	183.26379923032997	374.91759846066	-174.87379923032992	-183.26379923032994	374.91759846066	-374.91759846066	-174.87379923032984	174.87379923032992	-174.87379923032995	8.39	183.26379923033
67	-393.6726553454955	778.9553106909909	259.65177023033016	393.6726553454955	-527.6935404606606	-393.6726553454955	259.6517702303303	259.6517702303303	259.6517702303303	-259.6517702303303	527.6935404606606	259.6517702303303	527.6935404606606	-251.26177023033034	-259.65177023033016	527.6935404606606	-527.6935404606606	-251.26177023033006	251.26177023033034	-251.26177023033028	8.39	259.6517702303303
68	-364.91246968203905	721.434939364078	240.47831312135918	364.91246968203905	-489.3466262427187	-364.91246968203905	240.47831312135932	240.47831312135932	240.47831312135932	-240.47831312135932	489.3466262427187	240.47831312135932	489.3466262427187	-232.08831312135928	-240.47831312135918	489.3466262427187	-489.3466262427187	-232.08831312135896	232.08831312135928	-232.0883131213593	8.39	240.47831312135935
69	-336.267095138995	664.14419027799	221.38139675932996	336.267095138995	-451.15279351866	-336.267095138995	221.38139675933	221.38139675933	221.38139675933	-221.38139675933	451.15279351866	221.38139675933	451.15279351866	-212.99139675932994	-221.38139675932996	451.15279351866	-451.15279351866	-212.9913967593301	212.99139675932994	-212.99139675932997	8.39	221.38139675933002
70	-443.67335661329724	878.9567132265944	292.9855710755314	443.67335661329724	-594.361142151063	-443.67335661329724	292.9855710755315	292.9855710755315	292.9855710755315	-292.9855710755315	594.361142151063	292.9855710755315	594.361142151063	-284.5955710755315	-292.9855710755314	594.361142151063	-594.361142151063	-284.59557107553144	284.5955710755315	-284.59557107553144	8.39	292.9855710755315
71	-300.5603783628412	592.7307567256823	197.57691890856063	300.5603783628412	-403.5438378171216	-300.5603783628412	197.57691890856077	197.57691890856077	197.57691890856077	-197.57691890856077	403.5438378171216	197.57691890856077	403.5438378171216	-189.18691890856073	-197.57691890856063	403.5438378171216	-403.5438378171216	-189.18691890856056	189.18691890856073	-189.18691890856076	8.39	197.5769189085608
72	-79.92819335322724	151.46638670645427	50.48879556881809	79.92819335322724	-109.36759113763621	-79.92819335322724	50.488795568818105	50.488795568818105	50.488795568818105	-50.488795568818105	109.36759113763621	50.488795568818105	109.36759113763621	-42.098795568818105	-50.48879556881809	109.36759113763621	-109.36759113763621	-42.09879556881776	42.098795568818105	-42.09879556881813	8.39	50.48879556881812
