"","log2FC","p","condition","metab"
"tyrosylglycine",2.2891713262261,2.48e-05,"untreated_24-0","tyrosylglycine"
"urea",2.66255606930432,0.277,"untreated_24-0","urea"
"uridine-2',3'-cyclic monophosphate",0.442598381362828,0.013,"untreated_24-0","uridine-2',3'-cyclic monophosphate"
"uridine 3'-monophosphate (3'-UMP)",1.85249022661036,0.541,"untreated_24-0","uridine 3'-monophosphate (3'-UMP)"
"valylglutamine",1.30206888623016,9.87e-05,"untreated_24-0","valylglutamine"
"xanthine",2.17841951562657,0.612,"untreated_24-0","xanthine"
"(3'-5')-adenylyladenosine*1",1.77693798440795,0.917,"untreated_5-0","(3'-5')-adenylyladenosine*"
"1-carboxyethylisoleucine1",2.28726057695182,4.03e-06,"untreated_5-0","1-carboxyethylisoleucine"
"1-carboxyethylleucine1",1.14870953797644,1.24e-05,"untreated_5-0","1-carboxyethylleucine"
"1-carboxyethylphenylalanine1",1.05256410006669,1.68e-05,"untreated_5-0","1-carboxyethylphenylalanine"
"1-carboxyethyltyrosine1",0.047960208847054,0.993,"untreated_5-0","1-carboxyethyltyrosine"
"1-carboxyethylvaline1",0.961487095416731,0.000612,"untreated_5-0","1-carboxyethylvaline"
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)1",-0.191308118358654,0.000767,"untreated_5-0","1-palmitoyl-2-oleoyl-GPE (16:0/18:1)"
"1,5-anhydroglucitol (1,5-AG)1",1.26501604073185,1.95e-05,"untreated_5-0","1,5-anhydroglucitol (1,5-AG)"
"10-undecenoate (11:1n1)1",3.14413771154955,0.021,"untreated_5-0","10-undecenoate (11:1n1)"
"2'-deoxyadenosine 5'-monophosphate1",-0.219065684078795,0.035,"untreated_5-0","2'-deoxyadenosine 5'-monophosphate"
"2'-deoxyuridine1",1.34570629470429,0.000236,"untreated_5-0","2'-deoxyuridine"
"2'-O-methyluridine1",-0.0460179448685977,0.000481,"untreated_5-0","2'-O-methyluridine"
"2-aminoadipate1",2.28529459551889,0.037,"untreated_5-0","2-aminoadipate"
"2-heptyl-1H-quinolin-4-one (HHQ)1",3.63832725040001,0.022,"untreated_5-0","2-heptyl-1H-quinolin-4-one (HHQ)"
"2-hydroxyphenylacetate1",-1.47425599372982,0.003,"untreated_5-0","2-hydroxyphenylacetate"
"2-keto-3-deoxy-gluconate1",-0.98195444012325,0.004,"untreated_5-0","2-keto-3-deoxy-gluconate"
"2-methylcitrate/homocitrate1",0.246609204807214,0.006,"untreated_5-0","2-methylcitrate/homocitrate"
"2-methylserine1",0.0839361026644556,1.22e-05,"untreated_5-0","2-methylserine"
