	rxn10158	rxn05312	rxn05318	rxn05561	rxn00615	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
40	-275.6789484375811	542.9678968751622	180.9892989583874	275.6789484375811	-370.3685979167748	180.9892989583874	180.9892989583874	180.9892989583874	-180.9892989583874	370.3685979167748	180.9892989583874	370.3685979167748	-172.5992989583874	-180.9892989583874	370.3685979167748	-370.3685979167748	-172.59929895838746	172.5992989583874	-172.5992989583874	8.39	180.9892989583874
41	-194.51068561193085	380.63137122386206	126.87712374128735	194.51068561193085	-262.1442474825747	126.87712374128735	126.87712374128735	126.87712374128735	-126.87712374128735	262.1442474825747	126.87712374128735	262.1442474825747	-118.48712374128735	-126.87712374128735	262.1442474825747	-262.1442474825747	-118.4871237412877	118.48712374128735	-118.48712374128735	8.39	126.87712374128736
42	-438.26101061193094	868.1320212238619	289.37734040795397	438.26101061193094	-587.1446808159079	289.37734040795397	289.37734040795397	289.37734040795397	-289.37734040795397	587.1446808159079	289.37734040795397	587.1446808159079	-280.987340407954	-289.37734040795397	587.1446808159079	-587.1446808159079	-280.98734040795404	280.987340407954	-280.987340407954	8.39	289.37734040795397
43	-458.5733481122561	908.7566962245121	302.91889874150405	458.5733481122561	-614.2277974830081	302.91889874150405	302.91889874150405	302.91889874150405	-302.91889874150405	614.2277974830081	302.91889874150405	614.2277974830081	-294.52889874150407	-302.91889874150405	614.2277974830081	-614.2277974830081	-294.52889874150395	294.52889874150407	-294.528898741504	8.39	302.91889874150405
44	-224.97915123774348	441.568302475487	147.18943415849566	224.9791512377435	-302.7688683169913	147.18943415849566	147.18943415849566	147.18943415849566	-147.18943415849566	302.7688683169913	147.18943415849566	302.7688683169913	-138.79943415849567	-147.18943415849566	302.7688683169913	-302.7688683169913	-138.79943415849567	138.79943415849567	-138.79943415849567	8.39	147.18943415849566
45	-214.80267015008081	421.21534030016164	140.4051134333872	214.80267015008076	-289.2002268667744	140.4051134333872	140.4051134333872	140.4051134333872	-140.4051134333872	289.2002268667744	140.4051134333872	289.2002268667744	-132.01511343338723	-140.4051134333872	289.2002268667744	-289.2002268667744	-132.01511343338723	132.01511343338723	-132.01511343338723	8.39	140.4051134333872
46	-366.92355221306855	725.4571044261372	241.8190348087124	366.92355221306855	-492.02806961742476	241.8190348087124	241.8190348087124	241.8190348087124	-241.8190348087124	492.02806961742476	241.8190348087124	492.02806961742476	-233.4290348087124	-241.8190348087124	492.02806961742476	-492.02806961742476	-233.42903480871252	233.4290348087124	-233.42903480871246	8.39	241.8190348087124
47	-468.7092045249186	929.0284090498373	309.67613634994575	468.7092045249186	-627.7422726998915	309.67613634994575	309.67613634994575	309.67613634994575	-309.67613634994575	627.7422726998915	309.67613634994575	627.7422726998915	-301.28613634994576	-309.67613634994575	627.7422726998915	-627.7422726998915	-301.2861363499457	301.28613634994576	-301.28613634994576	8.39	309.67613634994575
48	-245.27121702524312	482.15243405048625	160.71747801682875	245.27121702524312	-329.8249560336575	160.71747801682875	160.71747801682875	160.71747801682875	-160.71747801682875	329.8249560336575	160.71747801682875	329.8249560336575	-152.32747801682876	-160.71747801682875	329.8249560336575	-329.8249560336575	-152.32747801682882	152.32747801682876	-152.32747801682876	8.39	160.71747801682875
49	-407.69077984959324	806.9915596991865	268.9971865663955	407.69077984959324	-546.384373132791	268.9971865663955	268.9971865663955	268.9971865663955	-268.9971865663955	546.384373132791	268.9971865663955	546.384373132791	-260.6071865663955	-268.9971865663955	546.384373132791	-546.384373132791	-260.6071865663955	260.6071865663955	-260.6071865663955	8.39	268.9971865663955
