	rxn10158	rxn05312	rxn05318	rJB00240	rxn01639	rxn00615	rxn05209	rxn00148	rxn05466	rxn00250	rxn00134	rxn00102	rxn05559	rxn05298	rxn00374	rxn05581	rxn00251	rxn01642	rxn12604	rxn02085	rxn10165	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00023_e	EX_cpd00013_e	EX_cpd00009_e	EX_cpd00581_e	ATPM	EX_cpd00047_e	DM_cpd00002_c
36	-441.98949767145285	952.8998131013517	317.6332710337839	441.98949767145285	77.31081775844598	-643.6565420675678	-364.6786799130069	317.6332710337839	-77.31081775844598	317.6332710337839	317.6332710337839	-317.6332710337839	-77.31081775844598	-77.31081775844598	77.31081775844598	643.6565420675678	317.6332710337839	77.31081775844598	77.31081775844598	-77.31081775844598	643.6565420675678	-317.6332710337839	643.6565420675678	-643.6565420675678	-309.24327103378397	77.31081775844598	77.31081775844598	-309.2432710337839	-77.31081775844598	8.39	77.31081775844598	317.6332710337839
37	-364.54251899603975	783.9245869004504	261.3081956334835	364.54251899603975	63.22954890837087	-531.006391266967	-301.3129700876689	261.3081956334835	-63.22954890837087	261.3081956334835	261.3081956334835	-261.3081956334835	-63.22954890837087	-63.22954890837087	63.22954890837087	531.006391266967	261.3081956334835	63.22954890837087	63.22954890837087	-63.22954890837087	531.006391266967	-261.3081956334835	531.006391266967	-531.006391266967	-252.91819563348346	63.22954890837087	63.22954890837087	-252.9181956334835	-63.22954890837087	8.39	63.22954890837087	261.3081956334835
38	-407.494012883127	877.6369371995498	292.5456457331833	407.494012883127	71.03891143329582	-593.4812914663665	-336.4551014498312	292.5456457331833	-71.03891143329582	292.5456457331833	292.5456457331833	-292.5456457331833	-71.03891143329582	-71.03891143329582	71.03891143329582	593.4812914663665	292.5456457331833	71.03891143329582	71.03891143329582	-71.03891143329582	593.4812914663665	-292.5456457331833	593.4812914663665	-593.4812914663665	-284.1556457331833	71.03891143329582	71.03891143329582	-284.1556457331833	-71.03891143329582	8.39	71.03891143329582	292.5456457331833
39	-338.7442878831267	727.6375371995491	242.54584573318303	338.7442878831267	58.53896143329575	-493.4816914663661	-280.2053264498309	242.54584573318303	-58.53896143329575	242.54584573318303	242.54584573318303	-242.54584573318303	-58.53896143329575	-58.53896143329575	58.53896143329575	493.4816914663661	242.54584573318303	58.53896143329575	58.53896143329575	-58.53896143329575	493.4816914663661	-242.54584573318303	493.4816914663661	-493.4816914663661	-234.155845733183	58.53896143329575	58.53896143329575	-234.155845733183	-58.53896143329575	8.39	58.53896143329575	242.54584573318306
40	-278.6054314957644	596.4254868998496	198.8084956332832	278.6054314957644	47.604623908320804	-406.0069912665664	-231.00080758744357	198.8084956332832	-47.604623908320804	198.8084956332832	198.8084956332832	-198.8084956332832	-47.604623908320804	-47.604623908320804	47.604623908320804	406.0069912665664	198.8084956332832	47.604623908320804	47.604623908320804	-47.604623908320804	406.0069912665664	-198.8084956332832	406.0069912665664	-406.0069912665664	-190.4184956332832	47.604623908320804	47.604623908320804	-190.41849563328321	-47.604623908320804	8.39	47.604623908320804	198.8084956332832
41	-416.10488149576486	896.4242868998506	298.80809563328353	416.10488149576486	72.60452390832089	-606.006191266567	-343.500357587444	298.80809563328353	-72.60452390832089	298.80809563328353	298.80809563328353	-298.80809563328353	-72.60452390832089	-72.60452390832089	72.60452390832089	606.006191266567	298.80809563328353	72.60452390832089	72.60452390832089	-72.60452390832089	606.006191266567	-298.80809563328353	606.006191266567	-606.006191266567	-290.41809563328354	72.60452390832089	72.60452390832089	-290.41809563328354	-72.60452390832089	8.39	72.60452390832089	298.80809563328353
42	-459.2630381584021	990.58753780015	330.19584593338334	459.2630381584021	80.45146148334584	-668.7816918667667	-378.81157667505624	330.19584593338334	-80.45146148334584	330.19584593338334	330.19584593338334	-330.19584593338334	-80.45146148334584	-80.45146148334584	80.45146148334584	668.7816918667667	330.19584593338334	80.45146148334584	80.45146148334584	-80.45146148334584	668.7816918667667	-330.19584593338334	668.7816918667667	-668.7816918667667	-321.80584593338347	80.45146148334584	80.45146148334584	-321.80584593338335	-80.45146148334584	8.39	80.45146148334584	330.19584593338334
43	-355.9316503834018	765.1372372001495	255.04574573338314	355.9316503834018	61.66393643334579	-518.4814914667663	-294.267713950056	255.04574573338314	-61.66393643334579	255.04574573338314	255.04574573338314	-255.04574573338314	-61.66393643334579	-61.66393643334579	61.66393643334579	518.4814914667663	255.04574573338314	61.66393643334579	61.66393643334579	-61.66393643334579	518.4814914667663	-255.04574573338314	518.4814914667663	-518.4814914667663	-246.65574573338327	61.66393643334579	61.66393643334579	-246.65574573338313	-61.66393643334579	8.39	61.66393643334579	255.04574573338317
44	-201.45040065867653	428.08723780074877	142.6957459335829	201.45040065867653	33.57643648339573	-293.78149186716587	-167.8739641752808	142.6957459335829	-33.57643648339573	142.6957459335829	142.6957459335829	-142.6957459335829	-33.57643648339573	-33.57643648339573	33.57643648339573	293.78149186716587	142.6957459335829	33.57643648339573	33.57643648339573	-33.57643648339573	293.78149186716587	-142.6957459335829	293.78149186716587	-293.78149186716587	-134.3057459335828	33.57643648339573	33.57643648339573	-134.3057459335829	-33.57643648339573	8.39	33.57643648339573	142.69574593358294
45	-269.9945628831265	577.6381371995489	192.54604573318295	269.9945628831265	46.03901143329574	-393.4820914663659	-223.95555144983075	192.54604573318295	-46.03901143329574	192.54604573318295	192.54604573318295	-192.54604573318295	-46.03901143329574	-46.03901143329574	46.03901143329574	393.4820914663659	192.54604573318295	46.03901143329574	46.03901143329574	-46.03901143329574	393.4820914663659	-192.54604573318295	393.4820914663659	-393.4820914663659	-184.1560457331829	46.03901143329574	46.03901143329574	-184.15604573318296	-46.03901143329574	8.39	46.03901143329574	192.54604573318295
46	-304.36928788367675	652.6375372007493	217.5458457335831	304.36928788367675	52.28896143339577	-443.48169146716623	-252.08032645028098	217.5458457335831	-52.28896143339577	217.5458457335831	217.5458457335831	-217.5458457335831	-52.28896143339577	-52.28896143339577	52.28896143339577	443.48169146716623	217.5458457335831	52.28896143339577	52.28896143339577	-52.28896143339577	443.48169146716623	-217.5458457335831	443.48169146716623	-443.48169146716623	-209.15584573358308	52.28896143339577	52.28896143339577	-209.15584573358308	-52.28896143339577	8.39	52.28896143339577	217.54584573358312
47	-347.33800350798936	746.3874621992494	248.79582073308313	347.33800350798936	60.10145518327079	-505.98164146616625	-287.23654832471857	248.79582073308313	-60.10145518327079	248.79582073308313	248.79582073308313	-248.79582073308313	-60.10145518327079	-60.10145518327079	60.10145518327079	505.98164146616625	248.79582073308313	60.10145518327079	60.10145518327079	-60.10145518327079	505.98164146616625	-248.79582073308313	505.98164146616625	-505.98164146616625	-240.40582073308317	60.10145518327079	60.10145518327079	-240.40582073308315	-60.10145518327079	8.39	60.10145518327079	248.79582073308313
