	rxn10125	rxn00083	rxn05312	rxn05318	rxn00615	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
33	-310.4136328129693	-310.4136328129693	612.4372656259386	204.14575520864622	-416.68151041729243	204.14575520864622	204.14575520864622	204.14575520864622	-204.14575520864622	416.68151041729243	204.14575520864622	416.68151041729243	-195.75575520864624	-204.14575520864622	416.68151041729243	-416.68151041729243	-195.75575520864624	195.75575520864624	-195.75575520864618	8.39	204.14575520864622
34	-474.66306956259456	-474.66306956259456	940.9361391251891	313.6453797083964	-635.6807594167927	313.6453797083964	313.6453797083964	313.6453797083964	-313.6453797083964	635.6807594167927	313.6453797083964	635.6807594167927	-305.2553797083964	-313.6453797083964	635.6807594167927	-635.6807594167927	-305.2553797083964	305.2553797083964	-305.2553797083964	8.39	313.6453797083964
35	-451.13181993796957	-451.13181993796957	893.8736398759393	297.9578799586464	-604.3057599172928	297.9578799586464	297.9578799586464	297.9578799586464	-297.9578799586464	604.3057599172928	297.9578799586464	604.3057599172928	-289.5678799586464	-297.9578799586464	604.3057599172928	-604.3057599172928	-289.5678799586465	289.5678799586464	-289.5678799586464	8.39	297.9578799586464
36	-486.4522256245317	-486.4522256245317	964.5144512490633	321.5048170830211	-651.3996341660422	321.5048170830211	321.5048170830211	321.5048170830211	-321.5048170830211	651.3996341660422	321.5048170830211	651.3996341660422	-313.11481708302114	-321.5048170830211	651.3996341660422	-651.3996341660422	-313.114817083021	313.11481708302114	-313.1148170830211	8.39	321.5048170830211
37	-298.64805506315616	-298.64805506315616	588.9061101263123	196.3020367087708	-400.9940734175416	196.3020367087708	196.3020367087708	196.3020367087708	-196.3020367087708	400.9940734175416	196.3020367087708	400.9940734175416	-187.9120367087708	-196.3020367087708	400.9940734175416	-400.9940734175416	-187.91203670877087	187.9120367087708	-187.91203670877076	8.39	196.30203670877077
38	-392.39768006315626	-392.39768006315626	776.4053601263125	258.80178670877086	-525.9935734175417	258.80178670877086	258.80178670877086	258.80178670877086	-258.80178670877086	525.9935734175417	258.80178670877086	525.9935734175417	-250.41178670877088	-258.80178670877086	525.9935734175417	-525.9935734175417	-250.41178670877093	250.41178670877088	-250.41178670877085	8.39	258.80178670877086
39	-357.2182740000933	-357.2182740000933	706.0465480001866	235.34884933339555	-479.0876986667911	235.34884933339555	235.34884933339555	235.34884933339555	-235.34884933339555	479.0876986667911	235.34884933339555	479.0876986667911	-226.95884933339556	-235.34884933339555	479.0876986667911	-479.0876986667911	-226.95884933339562	226.95884933339556	-226.95884933339553	8.39	235.34884933339555
40	-286.90596150046815	-286.90596150046815	565.4219230009363	188.47397433364546	-385.3379486672909	188.47397433364546	188.47397433364546	188.47397433364546	-188.47397433364546	385.3379486672909	188.47397433364546	385.3379486672909	-180.08397433364547	-188.47397433364546	385.3379486672909	-385.3379486672909	-180.08397433364553	180.08397433364547	-180.08397433364544	8.39	188.47397433364546
41	-427.6241486254686	-427.6241486254686	846.8582972509373	282.28609908364575	-572.9621981672915	282.28609908364575	282.28609908364575	282.28609908364575	-282.28609908364575	572.9621981672915	282.28609908364575	572.9621981672915	-273.89609908364577	-282.28609908364575	572.9621981672915	-572.9621981672915	-273.89609908364577	273.89609908364577	-273.8960990836458	8.39	282.28609908364575
42	-380.65558650046836	-380.65558650046836	752.9211730009367	250.97372433364558	-510.33744866729114	250.97372433364558	250.97372433364558	250.97372433364558	-250.97372433364558	510.33744866729114	250.97372433364558	510.33744866729114	-242.5837243336456	-250.97372433364558	510.33744866729114	-510.33744866729114	-242.5837243336456	242.5837243336456	-242.5837243336456	8.39	250.97372433364558
43	-263.4686490000933	-263.4686490000933	518.5472980001866	172.84909933339554	-354.0881986667911	172.84909933339554	172.84909933339554	172.84909933339554	-172.84909933339554	354.0881986667911	172.84909933339554	354.0881986667911	-164.45909933339556	-172.84909933339554	354.0881986667911	-354.0881986667911	-164.45909933339556	164.45909933339556	-164.45909933339556	8.39	172.84909933339554
44	-462.89749181278125	-462.89749181278125	917.4049836255625	305.80166120852084	-619.9933224170417	305.80166120852084	305.80166120852084	305.80166120852084	-305.80166120852084	619.9933224170417	305.80166120852084	619.9933224170417	-297.41166120852085	-305.80166120852084	619.9933224170417	-619.9933224170417	-297.41166120852085	297.41166120852085	-297.41166120852085	8.39	305.80166120852084
45	-439.3662421881563	-439.3662421881563	870.3424843763125	290.11416145877087	-588.6183229175417	290.11416145877087	290.11416145877087	290.11416145877087	-290.11416145877087	588.6183229175417	290.11416145877087	588.6183229175417	-281.7241614587709	-290.11416145877087	588.6183229175417	-588.6183229175417	-281.72416145877077	281.7241614587709	-281.7241614587708	8.39	290.11416145877087
46	-216.6875861250933	-216.6875861250933	424.9851722501866	141.66172408339554	-291.71344816679107	141.66172408339554	141.66172408339554	141.66172408339554	-141.66172408339554	291.71344816679107	141.66172408339554	291.71344816679107	-133.27172408339555	-141.66172408339554	291.71344816679107	-291.71344816679107	-133.27172408339555	133.27172408339555	-133.27172408339555	8.39	141.66172408339554
47	-193.27375781184364	-193.27375781184364	378.15751562368723	126.05250520789575	-260.4950104157915	126.05250520789575	126.05250520789575	126.05250520789575	-126.05250520789575	260.4950104157915	126.05250520789575	260.4950104157915	-117.66250520789573	-126.05250520789575	260.4950104157915	-260.4950104157915	-117.66250520789575	117.66250520789573	-117.66250520789572	8.39	126.05250520789576
48	-251.75003962453076	-251.75003962453076	495.1100792490615	165.0366930830205	-338.463386166041	165.0366930830205	165.0366930830205	165.0366930830205	-165.0366930830205	338.463386166041	165.0366930830205	338.463386166041	-156.64669308302052	-165.0366930830205	338.463386166041	-338.463386166041	-156.6466930830205	156.64669308302052	-156.64669308302052	8.39	165.0366930830205
49	-415.9055392499059	-415.9055392499059	823.4210784998118	274.4736928332706	-557.3373856665412	274.4736928332706	274.4736928332706	274.4736928332706	-274.4736928332706	557.3373856665412	274.4736928332706	557.3373856665412	-266.0836928332706	-274.4736928332706	557.3373856665412	-557.3373856665412	-266.08369283327056	266.0836928332706	-266.0836928332706	8.39	274.4736928332705
50	-333.8044456868437	-333.8044456868437	659.2188913736874	219.7396304578958	-447.8692609157916	219.7396304578958	219.7396304578958	219.7396304578958	-219.7396304578958	447.8692609157916	219.7396304578958	447.8692609157916	-211.34963045789576	-219.7396304578958	447.8692609157916	-447.8692609157916	-211.34963045789584	211.34963045789576	-211.34963045789584	8.39	219.73963045789574
