	rJB00264	rxn00781	rxn05312	rxn05318	rxn10113	rJB00267	rxn08556	rxn05158	rxn00615	rxn00148	rxn10042	rxn01100	rxn00134	rxn05581	rxn00459	rxn00097	rxn00747	rxn01106	rxn10165	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00020_e	rxn05469	ATPM	DM_cpd00002_c
20	209.5572695042414	209.5572695042414	1000.0	417.01703900848287	209.5572695042414	209.5572695042414	209.5572695042414	251.05111702544838	-672.2631560339312	209.5572695042414	209.5572695042414	-209.5572695042414	417.01703900848287	672.2631560339312	209.5572695042414	207.45976950424148	-209.5572695042414	-209.5572695042414	630.7693085127243	-788.3452304957585	209.5572695042414	-417.01703900848287	672.2631560339312	-881.8204255381726	-159.67342198303436	788.3452304957585	-209.5572695042414	-369.23069148727575	209.5572695042414	-209.5572695042414	8.39	417.01703900848287
21	139.57348958333336	139.57348958333336	445.03302914018303	277.04947916666663	139.57348958333336	139.57348958333336	139.57348958333336	386.11540835981725	-667.3598875264838	139.57348958333336	139.57348958333336	-139.57348958333353	277.0494791666671	667.3598875264838	139.57348958333364	137.4759895833337	-139.57348958333353	-139.57348958333364	420.8179687500001	-303.36203955684954	139.5734895833334	-277.0494791666671	667.3598875264838	-806.933377109817	115.35842919315053	303.36203955684954	-139.5734895833334	-24.215060390183226	139.57348958333353	-139.57348958333353	8.39	277.0494791666667
22	175.8531604375471	175.8531604375471	1000.0	349.60882087509424	175.8531604375471	175.8531604375471	175.8531604375471	48.8264626252826	-402.6302835003768	175.8531604375471	175.8531604375471	-175.8531604375471	349.60882087509424	402.6302835003768	175.8531604375471	173.7556604375471	-175.8531604375471	-175.8531604375471	529.6569813126413	-822.0493395624529	175.8531604375471	-349.60882087509424	402.6302835003768	-578.4834439379239	-294.4898582498116	822.0493395624529	-175.8531604375471	-470.3430186873587	175.8531604375471	-175.8531604375471	8.39	349.6088208750941
23	205.7648031195007	205.76480311950075	847.6882280755068	409.4321062390015	205.76480311950075	205.7648031195007	205.76480311950075	380.6080906414977	-794.2351968804992	205.76480311950075	205.7648031195007	-205.76480311950075	409.4321062390015	794.2351968804992	205.76480311950075	203.66730311950073	-205.76480311950075	-205.76480311950075	619.3919093585023	-639.825924956006	205.76480311950073	-409.4321062390015	794.2351968804992	-1000.0	-22.53151559750387	639.825924956006	-205.76480311950073	-228.2963187170045	205.76480311950075	-205.76480311950075	8.39	409.4321062390014
24	165.4406863957505	165.4406863957505	986.3516183745031	328.78387279150104	165.4406863957505	165.4406863957505	165.4406863957505	0.0	-332.9788727915011	165.4406863957505	165.4406863957505	-165.4406863957505	328.78387279150104	332.9788727915011	165.4406863957505	163.34318639575054	-165.4406863957505	-165.4406863957505	498.4195591872516	-818.8134319787525	165.4406863957505	-328.78387279150104	332.9788727915011	-498.4195591872516	-322.49137279150113	818.8134319787525	-165.4406863957505	-487.9320591872515	165.4406863957505	-165.4406863957505	8.39	328.78387279150104
25	161.31751223896555	161.31751223896555	447.6626101506904	320.5375244779312	161.31751223896555	161.31751223896555	161.31751223896555	513.9499632831031	-838.6824877610345	161.31751223896555	161.31751223896555	-161.31751223896555	320.5375244779312	838.6824877610345	161.31751223896555	159.22001223896564	-161.31751223896555	-161.31751223896555	486.0500367168969	-284.24759791172465	161.31751223896555	-320.5375244779312	838.6824877610345	-1000.0	199.70493880517176	284.24759791172465	-161.31751223896555	38.3874265662065	161.31751223896555	-161.31751223896555	8.39	320.5375244779313
26	150.94514991397756	150.94514991397756	454.9329497419326	299.7927998279551	150.94514991397756	150.94514991397756	150.94514991397756	444.4454497419327	-748.4332495698877	150.94514991397756	150.94514991397756	-150.94514991397756	299.7927998279551	748.4332495698877	150.94514991397756	148.84764991397753	-150.94514991397756	-150.94514991397756	454.9329497419326	-301.8902998279551	150.94514991397756	-299.7927998279551	748.4332495698877	-899.3783994838652	150.94514991397762	301.8902998279551	-150.94514991397756	0.0	150.94514991397756	-150.94514991397756	8.39	299.792799827955
27	186.8702407927436	186.8702407927436	677.6371671346923	371.6429815854872	186.8702407927436	186.8702407927436	186.8702407927436	437.29177762176926	-813.1297592072564	186.8702407927436	186.8702407927436	-186.8702407927436	371.6429815854872	813.1297592072564	186.8702407927436	184.77274079274358	-186.8702407927436	-186.8702407927436	562.7082223782307	-488.6694263419488	186.8702407927436	-371.6429815854872	813.1297592072564	-1000.0	71.94129603628221	488.6694263419488	-186.8702407927436	-114.92894475646153	186.8702407927436	-186.8702407927436	8.39	371.6429815854872
28	139.57348958333336	139.57348958333336	643.441768236621	277.0494791666667	139.57348958333336	139.57348958333336	139.57348958333336	187.70666926337907	-468.95114843004575	139.57348958333336	139.57348958333336	-139.57348958333353	277.0494791666671	468.95114843004575	139.57348958333364	137.4759895833337	-139.57348958333353	-139.57348958333364	420.8179687500001	-501.7707786532877	139.5734895833334	-277.0494791666671	468.95114843004575	-608.5246380133791	-83.05030990328748	501.7707786532877	-139.5734895833334	-222.6237994866209	139.57348958333353	-139.57348958333353	8.39	277.0494791666667
29	171.2111995884568	171.21119958845676	536.7057962961111	340.32489917691356	171.21119958845676	171.2111995884568	171.21119958845676	484.26890123462965	-828.7888004115433	171.21119958845676	171.2111995884568	-171.21119958845676	340.32489917691356	828.7888004115433	171.21119958845676	169.1136995884568	-171.21119958845676	-171.21119958845676	515.7310987653703	-363.3970967076542	171.2111995884568	-340.32489917691356	828.7888004115433	-1000.0	150.236502057716	363.3970967076542	-171.2111995884568	-20.97469753074074	171.21119958845676	-171.21119958845676	8.39	340.32489917691373
